instancia,target,seed,tempo_para_target_ms
instances/scqbf/n400p2.txt,10486.78,2092,53773
instances/scqbf/n400p2.txt,10486.78,2093,77870
instances/scqbf/n400p2.txt,10486.78,2094,81483
instances/scqbf/n400p2.txt,10486.78,2095,116262
instances/scqbf/n400p2.txt,10486.78,2096,121233
instances/scqbf/n400p2.txt,10486.78,2097,112792
instances/scqbf/n400p2.txt,10486.78,2098,66439
instances/scqbf/n400p2.txt,10486.78,2099,146964
instances/scqbf/n400p2.txt,10486.78,2100,214087
instances/scqbf/n400p2.txt,10486.78,2101,48324
instances/scqbf/n400p2.txt,10486.78,2102,97452
instances/scqbf/n400p2.txt,10486.78,2103,87743
instances/scqbf/n400p2.txt,10486.78,2104,57438
instances/scqbf/n400p2.txt,10486.78,2105,84519
instances/scqbf/n400p2.txt,10486.78,2106,73050
instances/scqbf/n400p2.txt,10486.78,2107,81583
instances/scqbf/n400p2.txt,10486.78,2108,37231
instances/scqbf/n400p2.txt,10486.78,2109,133180
instances/scqbf/n400p2.txt,10486.78,2110,171816
instances/scqbf/n400p2.txt,10486.78,2111,162652
instances/scqbf/n400p2.txt,10486.78,2112,94961
instances/scqbf/n400p2.txt,10486.78,2113,116941
instances/scqbf/n400p2.txt,10486.78,2114,117378
instances/scqbf/n400p2.txt,10486.78,2115,68039
instances/scqbf/n400p2.txt,10486.78,2116,68207
instances/scqbf/n400p2.txt,10486.78,2117,45088
instances/scqbf/n400p2.txt,10486.78,2118,206915
instances/scqbf/n400p2.txt,10486.78,2119,105704
instances/scqbf/n400p2.txt,10486.78,2120,139530
instances/scqbf/n400p2.txt,10486.78,2121,91998
instances/scqbf/n400p2.txt,10486.78,2122,118729
instances/scqbf/n400p2.txt,10486.78,2123,98826
instances/scqbf/n400p2.txt,10486.78,2124,53052
